,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
167,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
168,Cbse All in One Hindi 'A' Class 10 for 2021 Exam,4.4,329,237,330,28,Hindi,Paperback,Tiwari Manju,21-30
169,RRB General Awareness 3000+ Previous Years Questions fo...,4.1,772,93,125,25,English,Paperback,Disha Experts,21-30
170,Skills In Mathematics - TRIGONOMETRY for JEE Main and A...,4.5,1369,182,260,30,English,Paperback,Arihant Experts,21-30
171,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
172,Mechanical Engineering ( Conventional And Objective Typ...,4.1,177,460,699,34,English,Paperback,RS KHURMI AND JK GUPTA,31-40
173,Panakkara Thanthai Yezhai Thanthai,4.4,1485,238,299,20,Tamil,Paperback,Kiyoski Robert T.,11-20
174,Computer Science With Python Textbook For Class-11 By S...,4.4,99,551,575,4,English,Paperback,Sumita Arora,1-10
175,Oxford Student Atlas for Competitive Exams,4.5,1277,259,359,27,English,Paperback,unknown,21-30
176,Essential Sociology - For Civil Services Main Examinati...,4.5,2598,385,774,50,English,Paperback,Nitin Sangwan,41-50
177,IAS COMBO Indian Economy By Ramsh Singh 10th Edition An...,4.2,441,508,1250,59,English,Paperback,MAJID HUSSAIN,51-60
178,Mathematics for Cds Entrance Examination,4.5,506,341,495,31,English,Paperback,Aggarwal R.S.,31-40
179,Let Us C#,4.5,4163,292,297,1,English,Paperback,Kanetkar Yashavant P.,1-10
180,25 Varsh UPSC IAS/ IPS Prarambhik Topic-wise Solved Pap...,4.4,4385,341,525,35,Hindi,Paperback,unknown,31-40
181,"A Naturalist's Guide to the Trees & Shrubs of India, Pa...",4.2,60,317,499,36,English,Paperback,Sachdeva Pardeep,31-40
182,SSB Interview - The Complete Guide,4.4,7389,185,235,21,English,Paperback,Dr. Natarajan N.K.,21-30
183,Giant Book Series Transport Colouring Book,4.6,702,58,199,70,English,Paperback,unknown,61-70
184,"OUAT Entrance Guide For B.tech(Agril.Engg),Bachelor In ...",4.3,19,469,485,3,English,Paperback,Kitab Mahal,1-10
185,Indian Air Force X & Y Group Technical & Non-Technical ...,4.2,1941,230,310,25,English,Paperback,unknown,21-30
186,Rapidex English Speaking Course For Early Learning,4.3,431,244,260,6,English,Paperback,NO,1-10
187,Electric Motor & Fan Rewinding,3.9,571,270,300,10,English,Paperback,SALIM AKHTAR SIDDIQI,1-10
188,Lucent Vastunishth Samanya Gyan,4.4,653,339,390,13,English,Paperback,Neeraj Chandra Chaudhary &Sanjiv Kumar,11-20
189,Ethics (Hindi) - Nitishastra with 1 Disc,4.4,150,449,560,19,Hindi,Paperback,Sunil Agrahari,11-20
190,A Guide For Interview,4.3,28,70,125,44,English,Paperback,Praveen Kumar,41-50
191,"Business School (only Book, Without Audio Cd)",4.4,2387,144,225,36,Hindi,Paperback,Robert T. Kiyosaki,31-40
192,Upsc New Syllabus & Tips to Crack IAS Preliminary and M...,4.3,5760,108,150,28,English,Paperback,Experts Disha,21-30
193,Pathfinder Academy CSIR-JRF-NET Life Sciences Book Comb...,4.4,530,1755,2500,29,English,Paperback,Pranav Kumar,21-30
194,The Power of Your Subconscious Mind,4.5,22311,159,199,20,English,Paperback,Napoleon H.,11-20
195,A Naturalist's Guide To The Reptiles Of India,4.3,30,317,499,36,English,Paperback,Das Indraneil,31-40
196,All in One English Core Cbse Class 12 2019-20,4.5,4414,347,415,16,English,Paperback,unknown,11-20
197,MHT CET 20 Question Paper Set Book | PCMB MCQs For 2020...,4.3,108,418,500,16,English,Paperback,Content Team at Target Publications,11-20
198,All In One Chemistry CBSE Class 12 2020-21,4.4,393,395,550,28,English,Paperback,Gupta Indu,21-30
199,Bharat Ka Prachin Itihas,4.1,99,234,299,21,English,Paperback,Ram Sharan Sharma,21-30
200,Electrician Trade All India Exam Solved Papers,4.3,822,313,375,16,English,Paperback,Er. Mahendra Pindel,11-20
201,Adhunik Bharat Ka Itihas,4.3,5580,279,400,30,Hindi,Paperback,Ahir Rajiv,21-30
202,Indian Army General Duty G.D. Recruitment Exam (Hindi),4.2,138,133,135,1,English,Paperback,Ram Singh Yadav,1-10
203,IIT JAM Chemistry Solved Papers and Practice Sets 2021,4.4,56,228,270,15,English,Paperback,Raj Kumar Soni,11-20
204,How To Win Friends And Influence People,4.5,234,130,150,13,English,Paperback,DALE CARNEGIE,11-20
205,"Adhunik Bharat Ka Itihas By Vipin Chandra, Indian Polit...",4.3,607,638,979,34,English,Paperback,Bipin Chandra and M laxmikanth,31-40
206,Object-Oriented Programming with C++,4.5,1571,426,525,18,English,Paperback,Balagurusamy,11-20
207,"Srimad Bhagavad Gita As It Is : Marathi
(New Edition)",4.6,1352,244,463,47,English,Hardcover,His Divine Grace A. C. Bhaktivedanta Swami Prabhupada,41-50
